cadena_id,cadena,siglas,nombre_tienda,dimension,mediciones,promedio
1,Zorro Abarrotero,ZT2,Zorro Toluca 2,Calificación Total,3,74.33
1,Zorro Abarrotero,ZE2,Zorro Ecatepec 2,Calificación Total,3,73.00
1,Zorro Abarrotero,ZAR,Zorro Armas,Calificación Total,2,70.50
1,Zorro Abarrotero,ZPI,Zorro Picacho,Calificación Total,3,70.00
1,Zorro Abarrotero,ZIR,Zorro Irapuato,Calificación Total,3,69.33
1,Zorro Abarrotero,ZLN,Zorro León,Calificación Total,3,69.33
1,Zorro Abarrotero,ZCP,Zorro Carrillo Puerto,Calificación Total,3,69.00
1,Zorro Abarrotero,ZCV,Zorro Calzada La Viga,Calificación Total,3,68.33
1,Zorro Abarrotero,ZCH,Zorro Chicoloapan,Calificación Total,3,62.67
1,Zorro Abarrotero,ZQR,Zorro Querétaro,Calificación Total,3,62.00
1,Zorro Abarrotero,CNA,Cazador Comercial Naucalpan,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZCL,Zorro Chalco,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZCU,Zorro Cuautepec,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZEC,Zorro Ecatepec,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZFR,Zorro San Francisco del Rinćon,Ofertas y precios,1,100.00
1,Zorro Abarrotero,ZHH,Zorro Huehuetoca,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZM2,Zorro Peñón,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZN2,Zorro Nicolás Romero 2,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZNR,Zorro Nicolás Romero,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZRY,Zorro Reyes,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZSJ,Zorro San Juanico,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZTC,Zorro Tecámac,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZTE,Zorro Texcoco 2,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZTM,Zorro Tecámac 2,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZTN,Zorro Tenayuca,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZVC,Zorro Valle de Chalco,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZVM,Zorro Vía Morelos,Ofertas y precios,3,100.00
1,Zorro Abarrotero,ZAM,Zorro Amecameca,Ofertas y precios,3,95.83
1,Zorro Abarrotero,ZCE,Zorro Centenario,Ofertas y precios,3,95.83
1,Zorro Abarrotero,ZH2,Zorro Central H2,Ofertas y precios,3,95.83
1,Zorro Abarrotero,ZPA,Zorro Pantitlán,Ofertas y precios,3,95.83
1,Zorro Abarrotero,ZV2,Zorro Valle de Chalco 2,Ofertas y precios,3,95.83
1,Zorro Abarrotero,ZES,Zorro Estacas,Ofertas y precios,3,89.00
1,Zorro Abarrotero,ZOC,Zorro Coacalco,Ofertas y precios,3,89.00
1,Zorro Abarrotero,ZE9,Zorro Central E9,Ofertas y precios,3,87.50
1,Zorro Abarrotero,ZTX,Zorro Texcoco,Ofertas y precios,3,87.50
1,Zorro Abarrotero,ZER,Zorro Ermita Iztapalapa,Ofertas y precios,3,84.83
1,Zorro Abarrotero,ZIZ,Zorro Izcalli,Ofertas y precios,3,84.83
1,Zorro Abarrotero,ZRO,Zorro Roldán,Ofertas y precios,3,84.83
1,Zorro Abarrotero,ZTU,Zorro Tulancingo,Ofertas y precios,3,84.50
1,Zorro Abarrotero,ZAG,Zorro Aragón,Ofertas y precios,3,83.33
1,Zorro Abarrotero,ZAP,Zorro Aeropuerto,Ofertas y precios,3,83.33
1,Zorro Abarrotero,ZC2,Zorro Contreras 2,Ofertas y precios,3,83.33
1,Zorro Abarrotero,ZCM,Zorro Chimalhuacán,Ofertas y precios,3,83.33
1,Zorro Abarrotero,ZLN,Zorro León,Ofertas y precios,3,83.33
1,Zorro Abarrotero,ZE2,Zorro Ecatepec 2,Ofertas y precios,3,81.83
1,Zorro Abarrotero,ZJI,Zorro Jiutepec,Ofertas y precios,3,81.83
1,Zorro Abarrotero,ZAN,Zorro Atizapán 2,Ofertas y precios,3,80.67
1,Zorro Abarrotero,ZCN,Zorro Cuautitlán,Ofertas y precios,3,79.17
1,Zorro Abarrotero,ZET,Zorro Ermita Iztapalapa 2,Ofertas y precios,3,79.17
1,Zorro Abarrotero,ZT2,Zorro Toluca 2,Ofertas y precios,3,79.17
1,Zorro Abarrotero,ZAC,Zorro Avenida Central,Ofertas y precios,3,77.67
1,Zorro Abarrotero,ZCA,Zorro Central C47,Ofertas y precios,3,77.67
1,Zorro Abarrotero,ZIX,Zorro Ixtapaluca,Ofertas y precios,3,75.00
1,Zorro Abarrotero,ZL2,Zorro Campestre,Ofertas y precios,3,75.00
1,Zorro Abarrotero,ZLG,Zorro Lago de Guadalupe,Ofertas y precios,3,75.00
1,Zorro Abarrotero,ZMI,Zorro Minas,Ofertas y precios,2,75.00
1,Zorro Abarrotero,ZQ6,Zorro Central Q6,Ofertas y precios,3,73.50
1,Zorro Abarrotero,PSU,Cazador Santa Úrsula,Ofertas y precios,3,72.33
1,Zorro Abarrotero,ZNZ,Zorro Nezahualcóyotl,Ofertas y precios,3,72.33
1,Zorro Abarrotero,ZVV,Zorro Vicente Villada,Ofertas y precios,3,72.33
1,Zorro Abarrotero,ZTL,Zorro Tlalnepantla,Ofertas y precios,4,71.88
